@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}

@data
21,'2025/11/18 23:23:51:695',1,0.569622,0.18303,0.490378,0.208601,0.591018,0.168485,0.669,0.112446,0.700361,0.171319,0.683218,0.171633,0.794862,0.16941,0.868398,0.164563,0.932047,0.122993,0.67011,0.116421,0.763295,0.13391,0.687474,0.144749,0.621165,0.080263,0.64488,0.070482,0.701206,0.098805,0.621187,0.111536,0.562222,0.039072,0.609689,0,0,0.027576,0.670418,0.053865,0.619547,0.067395,1,?,?
22,'2025/11/18 23:23:51:853',1,0.575149,0.196124,0.490637,0.221479,0.591062,0.181263,0.66668,0.129836,0.697477,0.1858,0.690322,0.185356,0.799854,0.181355,0.871826,0.176,0.933882,0.136713,0.677742,0.129563,0.767374,0.144336,0.699387,0.156135,0.635321,0.093385,0.651984,0.081249,0.703674,0.107492,0.624252,0.123019,0.56461,0.052872,0.615693,0,0,0.039978,0.672252,0.065707,0.620301,0.08238,1,?,?
23,'2025/11/18 23:23:51:967',1,0.590145,0.215704,0.504432,0.245179,0.604881,0.21152,0.682208,0.160828,0.713873,0.206721,0.70271,0.205976,0.813143,0.202146,0.884584,0.196279,0.946368,0.159234,0.688526,0.150417,0.773402,0.165123,0.695041,0.176978,0.625651,0.116709,0.662277,0.105762,0.716518,0.129783,0.63888,0.143477,0.581354,0.076404,0.627035,0,0,0.065588,0.682756,0.089738,0.632736,0.103973,1,?,?
24,'2025/11/18 23:23:52:056',1,0.602499,0.236072,0.519281,0.267212,0.617401,0.232026,0.698971,0.179144,0.737001,0.224262,0.71308,0.225263,0.823921,0.223949,0.896541,0.220867,0.96018,0.17713,0.699943,0.169216,0.782389,0.184946,0.70497,0.196264,0.638799,0.135531,0.674324,0.127666,0.730277,0.153025,0.652252,0.165512,0.592838,0.095035,0.637378,0,0,0.085566,0.695183,0.11116,0.645972,0.125357,1,?,?
25,'2025/11/18 23:23:52:173',1,0.586081,0.271093,0.511185,0.303559,0.610272,0.269882,0.691334,0.221077,0.731251,0.259179,0.710446,0.25984,0.821936,0.257655,0.893429,0.255152,0.955842,0.212879,0.697661,0.209753,0.782697,0.223435,0.718442,0.235071,0.656077,0.170512,0.671016,0.16533,0.725189,0.187669,0.646442,0.201038,0.584707,0.129087,0.634713,0,0,0.123118,0.689516,0.147827,0.638483,0.162774,1,?,?
26,'2025/11/18 23:23:52:280',1,0.571963,0.301557,0.49296,0.337609,0.590512,0.304268,0.673647,0.255912,0.717765,0.294686,0.694961,0.295496,0.80238,0.292698,0.872355,0.289239,0.93458,0.24717,0.684319,0.2439,0.753673,0.259055,0.688384,0.270969,0.631242,0.204118,0.660107,0.200745,0.707186,0.224413,0.625588,0.237561,0.565105,0.161645,0.625898,0,0,0.158903,0.674428,0.183013,0.620725,0.195922,1,?,?
27,'2025/11/18 23:23:52:382',1,0.554818,0.324371,0.476388,0.364663,0.57407,0.341376,0.656637,0.290787,0.694519,0.320176,0.687708,0.32551,0.79757,0.326208,0.86834,0.325557,0.932557,0.273438,0.676766,0.277771,0.760514,0.29334,0.675633,0.303818,0.607611,0.23041,0.651092,0.233186,0.702674,0.25712,0.610471,0.268486,0.549746,0.186606,0.614981,0,0,0.189707,0.667392,0.216148,0.607957,0.228528,1,?,?
28,'2025/11/18 23:23:52:493',1,0.542303,0.331051,0.461751,0.370705,0.560834,0.348668,0.643565,0.300216,0.684021,0.327109,0.674712,0.33364,0.786143,0.334933,0.856266,0.336029,0.919191,0.281378,0.664737,0.28702,0.743802,0.303119,0.663255,0.313895,0.595805,0.238389,0.639686,0.243766,0.691826,0.267937,0.600573,0.279441,0.536665,0.195264,0.603908,0,0,0.201045,0.653504,0.227399,0.595816,0.239569,1,?,?
29,'2025/11/18 23:23:52:579',1,0.501709,0.335831,0.425379,0.377812,0.522505,0.358947,0.602727,0.312033,0.640875,0.332532,0.643474,0.339666,0.753588,0.342063,0.821351,0.344869,0.882395,0.286812,0.63296,0.295897,0.706673,0.310486,0.620026,0.319652,0.549484,0.244568,0.606248,0.251353,0.656136,0.273993,0.563584,0.285942,0.498482,0.201905,0.567685,0,0,0.208559,0.618446,0.23338,0.560092,0.24547,1,?,?
30,'2025/11/18 23:23:52:682',1,0.471169,0.339519,0.399103,0.381033,0.496534,0.358407,0.5765,0.311377,0.615901,0.336238,0.615303,0.343582,0.726938,0.346123,0.794228,0.347521,0.855328,0.28889,0.603242,0.298916,0.666711,0.312445,0.579232,0.319266,0.511689,0.246124,0.57609,0.252996,0.625071,0.276107,0.533665,0.286723,0.468948,0.203874,0.538574,0,0,0.209918,0.59255,0.235617,0.535692,0.247686,1,?,?
